"","GC.F.Close","CC.F.Close"
"183",1183.09997558594,2699
"184",1182.40002441406,2943
"185",1189.40002441406,3085
"186",1171.5,3275
"187",1094.90002441406,3209
"188",1131.59997558594,3102
"189",1115.5,3114
"190",1141.5,3259
"191",1065.80004882812,3327
"192",1060.30004882812,3211
"193",1116.40002441406,2761
"194",1233.90002441406,2949
"195",1234.19995117188,2950
"196",1289.19995117188,3207
"197",1214.80004882812,3059
"198",1318.40002441406,3004
"199",1349,2835
"200",1306.90002441406,2921
"201",1313.30004882812,2761
"202",1271.5,2735
"203",1170.80004882812,2387
"204",1150,2126
"205",1208.59997558594,2103
"206",1252.59997558594,1943
"207",1247.30004882812,2095
"208",1266.09997558594,1844
"209",1272,2048
"210",1240.69995117188,1903
"211",1266.59997558594,2060
"212",1316.19995117188,1966
"213",1281.5,2043
"214",1267,2094
"215",1273.19995117188,2048
"216",1306.30004882812,1892
"217",1339,1996
"218",1315.5,2240
"219",1322.80004882812,2556
"220",1316.19995117188,2845
"221",1300.09997558594,2454
"222",1251.30004882812,2476
"223",1223.69995117188,2170
"224",1200.30004882812,2323
"225",1191.5,2057
"226",1212.30004882812,2234
"227",1220.19995117188,2144
"228",1278.30004882812,2416
"229",1319.69995117188,2168
"230",1312.80004882812,2238
"231",1293,2280
"232",1282.80004882812,2368
"233",1305.80004882812,2400
"234",1409.69995117188,2450
"235",1426.09997558594,2345
"236",1519.09997558594,2161
"237",1465.69995117188,2442
"238",1511.40002441406,2403
"239",1465.59997558594,2617
"240",1519.5,2540
"241",1582.90002441406,2777
"242",1564.09997558594,2760
"243",1583.40002441406,2249
"244",1684.19995117188,2432
"245",1736.90002441406,2454
"246",1793,2251
"247",1962.80004882812,2400
"248",1967.59997558594,2723
"249",1887.5,2546
"250",1877.40002441406,2293
"251",1775.69995117188,3008
"252",1893.09997558594,2603
"253",1847.30004882812,2531
"254",1728.09997558594,2701
"255",1713.80004882812,2348
"256",1767.30004882812,2342
"257",1902.5,2412
"258",1770.80004882812,2360
"259",1812.59997558594,2366
"260",1815,2560
"261",1755.30004882812,2652
"262",1783,2544
"263",1773.59997558594,2314
"264",1827.5,2520
"265",1795,2528
"266",1899.40002441406,2491
"267",1949.19995117188,2650
"268",1909.30004882812,2597
"269",1842.69995117188,2496
"270",1804.09997558594,2291
"271",1762.90002441406,2323
"272",1712.80004882812,2427
"273",1662.40002441406,2354
"274",1635.90002441406,2335
"275",1746,2451
"276",1819.69995117188,2600
"277",1929.5,2581
"278",1828.90002441406,2748
"279",1969,2933
"280",1990.09997558594,3174
"281",1963.90002441406,3007
"282",1921.09997558594,3318
"283",1970.5,3548
"284",1938.19995117188,3602
"285",1848.09997558594,3418
"286",1985.19995117188,3817
"287",2038.09997558594,4475
"288",2062.39990234375,4196
"289",2048.39990234375,4822
"290",2045.69995117188,6510
"291",2217.39990234375,9766
